City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tura,25.5198,90.2201,22.99,98,100,1.44,IN,1695492080
84,dzhangala,49.2167,50.3333,19.66,32,0,2.64,KZ,1695492081
85,ilhabela,-23.7781,-45.3581,26.08,74,34,1.65,BR,1695492082
86,vila franca do campo,37.7167,-25.4333,24.23,72,23,4.3,PT,1695492082
87,colonia,50.9333,6.95,16.65,73,40,2.57,DE,1695491303
88,college,64.8569,-147.8028,3.22,90,75,0.0,US,1695491821
89,maun,-19.9833,23.4167,27.84,15,35,2.94,BW,1695492083
90,aral,40.5156,81.2636,12.15,69,0,1.45,CN,1695492084
91,avarua,-21.2078,-159.775,20.03,49,40,3.09,CK,1695492085
92,nova sintra,14.8667,-24.7167,24.57,78,73,3.56,CV,1695492086
93,manokwari,-0.8667,134.0833,25.45,83,49,3.09,ID,1695491631
94,bubaque,11.2833,-15.8333,27.6,73,95,0.75,GW,1695492087
95,qaqortoq,60.7167,-46.0333,5.25,51,99,2.6,GL,1695492088
96,carutapera,-1.195,-46.02,31.34,58,5,5.7,BR,1695492088
97,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,4.12,EC,1695492088
98,mo i rana,66.3128,14.1428,9.62,89,40,0.0,NO,1695492090
99,el tigre,8.8875,-64.2454,31.7,47,84,3.04,VE,1695492091
100,constantia,44.1833,28.65,22.61,82,6,5.54,RO,1695492091
101,singkawang,0.9,109.0,24.6,81,86,2.12,ID,1695492093
102,shingu,33.7333,135.9833,21.5,63,100,1.9,JP,1695492093
103,udachny,66.4167,112.4,6.92,93,99,2.84,RU,1695492094
104,nasir,15.5894,32.5634,40.01,15,36,2.98,SD,1695492095
105,tazacorte,28.629,-17.9293,24.54,96,20,3.6,ES,1695492095
106,luderitz,-26.6481,15.1594,14.93,77,21,13.35,NA,1695492096
107,nizhneudinsk,54.9076,99.0276,8.71,89,73,1.02,RU,1695491814
108,port mathurin,-19.6833,63.4167,23.13,66,1,11.4,MU,1695492097
109,valparaiso,-33.0393,-71.6273,18.13,70,75,4.12,CL,1695492097
110,susuman,62.7833,148.1667,-2.48,84,91,0.59,RU,1695492098
111,tanhacu,-14.0214,-41.2481,33.67,20,32,3.96,BR,1695492098
112,box elder,41.5005,-112.8764,14.93,48,0,1.58,US,1695492099
113,petauke,-14.2426,31.3253,26.73,25,42,2.09,ZM,1695492100
114,bengkulu,-3.8004,102.2655,21.13,94,19,1.44,ID,1695492100
115,inhambane,-23.865,35.3833,23.99,83,0,3.13,MZ,1695492101
116,mchinji,-13.7984,32.8802,24.49,32,19,3.54,MW,1695492101
117,saint-francois,46.4154,3.9054,14.69,67,0,2.06,FR,1695492102
118,nemuro,43.3236,145.575,15.04,69,41,3.8,JP,1695492102
119,san patricio,28.017,-97.5169,35.6,45,18,5.51,US,1695492103
120,chernyshevsk,52.5243,117.0174,11.49,58,100,1.23,RU,1695492103
121,talnakh,69.4865,88.3972,1.23,80,81,7.49,RU,1695492104
122,flying fish cove,-10.4217,105.6791,23.82,88,100,5.66,CX,1695492104
123,enewetak,11.3474,162.3373,27.28,82,100,3.52,MH,1695492105
124,panambi,-28.2925,-53.5017,31.92,64,92,4.1,BR,1695492105
125,nar'yan-mar,67.6713,53.087,14.22,92,71,7.48,RU,1695492105
126,banikoara,11.2985,2.4386,26.72,78,96,2.48,BJ,1695492106
127,toyooka,35.5333,134.8333,20.26,74,100,2.52,JP,1695492106
128,la'ie,21.6477,-157.9253,26.92,81,59,4.02,US,1695492107
129,usogorsk,63.4106,48.6872,15.68,76,71,4.28,RU,1695492108
130,yellowknife,62.456,-114.3525,12.29,82,100,3.09,CA,1695492037
131,lihue,21.9789,-159.3672,24.77,82,100,7.72,US,1695491833
132,plettenberg bay,-34.0527,23.3716,14.07,92,100,6.6,ZA,1695492110
133,hermanus,-34.4187,19.2345,11.0,78,100,7.03,ZA,1695491769
134,betio village,1.358,172.9211,26.02,75,24,1.24,KI,1695492111
135,celina,40.5489,-84.5702,24.69,38,61,6.02,US,1695492009
136,ubari,26.5921,12.7805,31.46,13,0,3.72,LY,1695492112
137,haflong,25.1833,93.0333,22.24,100,100,0.95,IN,1695492112
138,vereshchagino,58.0789,54.6557,15.38,73,99,2.48,RU,1695492116
139,st. john's,47.5649,-52.7093,17.66,65,75,10.29,CA,1695491809
140,nova vicosa,-17.8919,-39.3719,27.55,63,47,7.05,BR,1695492118
141,la passe,45.5549,-0.8967,19.13,66,32,2.28,FR,1695492118
142,as sulayyil,20.4607,45.5779,37.14,9,51,4.48,SA,1695492119
143,songea,-10.6833,35.65,23.58,36,68,2.34,TZ,1695492120
144,punta arenas,-53.15,-70.9167,9.06,57,40,14.4,CL,1695491876
145,kavieng,-2.5744,150.7967,27.28,79,45,3.71,PG,1695492120
146,kununurra,-15.7667,128.7333,17.99,82,87,0.0,AU,1695492121
147,anadyr,64.75,177.4833,3.28,100,100,4.0,RU,1695492085
148,lobujya,27.95,86.8167,1.67,94,100,1.4,NP,1695492122
149,attingal,8.6833,76.8333,25.82,88,29,1.42,IN,1695492122
150,weno,7.4515,151.8468,28.69,80,100,7.08,FM,1695492123
151,severo-yeniseyskiy,60.3725,93.0408,2.58,91,100,2.75,RU,1695492124
152,kushiro,42.975,144.3747,13.58,83,54,2.59,JP,1695492124
153,uturoa,-16.7333,-151.4333,23.79,85,100,12.15,PF,1695492125
154,tolanaro,-25.0319,46.9987,23.04,78,0,11.83,MG,1695492081
155,banamba,13.55,-7.45,24.8,85,99,7.74,ML,1695492126
156,neryungri,56.6709,124.6491,6.95,75,72,0.91,RU,1695492126
157,salekhard,66.53,66.6019,4.37,94,100,4.59,RU,1695492127
158,intendente alvear,-35.2338,-63.592,22.71,41,62,3.23,AR,1695492083
159,yuzhno-kurilsk,44.0306,145.8556,12.7,69,0,1.13,RU,1695492128
160,envira,-7.3,-70.2167,39.08,26,0,1.25,BR,1695492129
161,yueyang,29.3333,113.0919,19.87,95,97,3.4,CN,1695492129
162,tazovsky,67.4667,78.7,0.26,82,25,7.24,RU,1695492130
163,bay city,43.5945,-83.8889,22.84,59,20,6.69,US,1695491885
164,kidal,18.4411,1.4078,38.22,9,0,2.17,ML,1695492131
165,vorgashor,67.5833,63.95,3.69,94,100,6.47,RU,1695492131
166,wailua homesteads,22.0669,-159.378,25.42,94,46,3.13,US,1695492131
167,villa maria grande,-31.6656,-59.9018,21.54,74,99,5.76,AR,1695492132
168,rawson,-43.3002,-65.1023,12.39,58,28,8.56,AR,1695492132
169,buenavista,8.9769,125.4089,24.83,91,100,0.13,PH,1695492133
170,aasiaat,68.7098,-52.8699,-0.09,60,0,4.25,GL,1695492133
171,altai,46.3722,96.2583,3.7,62,12,2.9,MN,1695492134
172,huarmey,-10.0681,-78.1522,22.6,69,1,5.16,PE,1695492134
173,jamestown,42.097,-79.2353,20.57,40,0,5.14,US,1695491883
174,eydhafushi,5.1033,73.0708,28.34,75,80,4.25,MV,1695492135
175,lospalos,-8.5186,127.0025,19.4,96,73,0.89,TL,1695492135
176,antsiranana,-12.2787,49.2917,23.74,80,28,8.11,MG,1695492136
177,ta`u,-14.2336,-169.5144,25.68,75,91,13.11,AS,1695492136
178,altayskoye,51.9533,85.3325,7.64,93,98,2.53,RU,1695492137
179,guigang,23.0964,109.6092,25.65,88,8,1.08,CN,1695492137
180,palmerston north,-40.35,175.6167,11.7,97,99,2.57,NZ,1695491958
181,essaouira,31.5125,-9.77,26.72,47,5,7.72,MA,1695492082
182,khanty-mansiysk,61.0042,69.0019,7.06,76,20,2.0,RU,1695492138
183,cabedelo,-6.9811,-34.8339,29.37,74,5,5.11,BR,1695491907
184,komsomolets,53.7453,62.0708,12.71,53,10,1.36,KZ,1695492139
185,coahuayana de hidalgo,18.7,-103.6583,33.5,62,20,2.44,MX,1695492140
186,levanger,63.7464,11.2996,11.03,82,80,1.85,NO,1695492140
187,rumbek,6.802,29.6912,22.58,95,93,2.18,SS,1695492141
188,hamilton,39.1834,-84.5333,25.99,45,0,5.66,US,1695492142
189,sechura,-5.5569,-80.8222,26.1,57,27,6.63,PE,1695492142
190,byron bay,-28.65,153.6167,13.73,76,97,4.46,AU,1695492143
191,ramadi,33.4226,43.3058,34.02,14,0,5.45,IQ,1695492026
192,thouars,46.976,-0.2151,14.86,59,92,1.94,FR,1695492144
193,rawlins,41.7911,-107.2387,12.94,38,20,10.8,US,1695492145
194,ponta delgada,37.7333,-25.6667,24.4,83,20,4.12,PT,1695491893
195,den burg,53.0542,4.7972,15.56,86,75,1.03,NL,1695492146
196,papao,-17.75,-149.55,21.82,97,100,11.53,PF,1695492147
197,arawa,-6.2132,155.5367,24.55,93,100,2.55,PG,1695492147
198,warburg,51.5,9.1667,13.17,72,61,2.95,DE,1695491643
199,selfoss,63.9331,-20.9971,5.88,94,100,3.28,IS,1695492148
200,dali,25.7,100.1833,16.49,95,22,2.08,CN,1695492148
201,nuku'alofa,-21.1333,-175.2,21.19,73,75,9.26,TO,1695492149
202,rong kwang,18.339,100.3174,24.04,96,14,0.63,TH,1695492149
203,muisne,0.6,-80.0333,27.6,75,92,5.13,EC,1695492150
204,tual,-5.6667,132.75,25.12,77,81,7.77,ID,1695492150
205,llanes,43.4198,-4.7549,18.16,71,3,2.5,ES,1695492150
206,port alfred,-33.5906,26.891,15.66,96,100,0.45,ZA,1695492151
207,tiksi,71.6872,128.8694,1.43,81,80,4.44,RU,1695492151
208,uray,60.1247,64.7758,11.6,75,91,3.58,RU,1695492152
209,new yekepa,7.5794,-8.5378,24.16,95,88,0.45,LR,1695492152
210,pisco,-13.7,-76.2167,20.57,77,0,4.63,PE,1695492153
211,cururupu,-1.8283,-44.8683,32.65,47,3,3.82,BR,1695492018
212,turpan,42.9333,89.1667,23.19,28,100,2.76,CN,1695492154
213,bayji,34.9311,43.487,32.71,12,0,4.78,IQ,1695492154
214,burang,30.25,81.1667,6.95,79,61,2.63,CN,1695492155
215,kingscliff,-28.2667,153.5667,17.07,77,100,3.6,AU,1695492155
216,magadan,59.5667,150.8,5.85,78,81,1.91,RU,1695492156
217,red bluff,40.1785,-122.2358,24.36,40,0,3.6,US,1695492156
218,longyearbyen,78.2186,15.6401,-5.09,80,20,3.6,SJ,1695492157
219,uddevalla,58.3478,11.9424,14.48,86,37,4.06,SE,1695492157
220,nyandoma,61.669,40.1991,16.14,69,6,4.95,RU,1695492158
221,kota,25.1833,75.8333,28.08,71,91,1.89,IN,1695492094
222,happy valley-goose bay,53.3168,-60.3315,13.17,62,75,7.72,CA,1695492008
223,coari,-4.085,-63.1414,31.05,52,89,1.07,BR,1695492159
224,fort st. john,56.2499,-120.8529,12.94,44,75,2.06,CA,1695492039
225,horqueta,-23.3428,-57.0597,42.86,14,64,4.3,PY,1695492160
226,tobelo,1.7284,128.0095,25.44,83,91,1.9,ID,1695492160
227,zaterechnyy,44.7931,45.2097,20.19,57,67,8.26,RU,1695492161
228,ust-nera,64.5667,143.2,-1.6,94,98,0.59,RU,1695492162
229,castillos,-34.1667,-53.8333,13.48,97,100,4.15,UY,1695492162
230,northam,51.0333,-4.2167,15.14,79,99,8.0,GB,1695492163
231,egersund,58.4513,5.9997,11.32,77,21,5.73,NO,1695492164
232,echuca,-36.1333,144.75,8.87,84,0,2.94,AU,1695492164
233,carnarvon,-24.8667,113.6333,17.9,77,0,9.21,AU,1695492164
234,al wafrah,28.6392,47.9306,32.65,11,0,3.05,KW,1695492165
235,popondetta,-8.7537,148.2534,21.94,98,58,0.82,PG,1695492165
236,trail,49.0998,-117.7022,18.16,84,100,1.53,CA,1695492162
237,rio grande,-32.035,-52.0986,19.06,98,100,3.61,BR,1695492166
238,caluula,11.9661,50.7569,30.5,66,62,1.4,SO,1695492167
239,ulsan,35.5372,129.3167,20.09,75,76,5.87,KR,1695492095
240,panjab,34.388,67.0233,7.25,33,0,2.73,AF,1695492168
241,illizi,26.4833,8.4667,38.89,11,97,5.01,DZ,1695492134
242,pangoa,-12.1167,-73.0,34.71,32,7,2.21,PE,1695492168
243,khandyga,62.6667,135.6,2.72,98,100,3.29,RU,1695492169
244,mhamid,29.82,-5.72,35.39,6,0,3.13,MA,1695492169
245,san isidro de curuguaty,-24.5167,-55.7,41.69,16,85,3.23,PY,1695492170
246,new norfolk,-42.7826,147.0587,7.62,99,39,1.27,AU,1695492170
247,callao,-12.0667,-77.15,21.16,73,75,3.6,PE,1695492171
248,alaghsas,17.0187,8.0168,38.94,16,0,2.57,NE,1695492171
249,ma'an,26.9775,110.7211,22.48,88,100,2.6,CN,1695492171
250,broken hill,-31.95,141.4333,14.63,38,29,3.86,AU,1695492172
251,cidreira,-30.1811,-50.2056,19.31,98,100,6.52,BR,1695492172
252,santa cruz,-17.8,-63.1667,37.03,41,20,12.86,BO,1695492032
253,karratha,-20.7377,116.8463,27.2,29,17,6.07,AU,1695492173
254,bor,56.3567,44.0669,14.96,59,0,3.0,RU,1695492173
255,kavaratti,10.5669,72.642,27.86,79,80,5.29,IN,1695492174
256,kharp,66.8014,65.8081,3.7,98,100,2.54,RU,1695492174
257,phan rang-thap cham,11.5667,108.9833,24.84,92,99,1.41,VN,1695492175
258,zouerate,22.7187,-12.4521,34.93,18,5,4.71,MR,1695492032
259,kulebaki,55.4133,42.5325,15.11,59,0,2.79,RU,1695492175
260,yeraliyev,43.2,51.65,22.23,31,29,5.83,KZ,1695492176
261,santa maria,-29.6842,-53.8069,26.61,65,0,2.57,BR,1695492176
262,buulobarde,3.8538,45.5674,26.73,68,100,9.12,SO,1695492177
263,gongzhuling,43.5008,124.8198,10.36,58,79,3.27,CN,1695492177
264,yanji,42.9075,129.5078,7.85,80,8,0.56,CN,1695492178
265,marshall,34.3834,-86.3333,30.99,45,0,4.12,US,1695492178
266,taulaga,-11.0553,-171.0883,27.52,80,93,12.34,AS,1695492178
267,lodwar,3.1191,35.5973,33.61,29,60,3.97,KE,1695492179
268,saudarkrokur,65.7461,-19.6394,3.59,93,97,0.29,IS,1695492180
269,zarechnyy,53.2036,45.1923,14.58,40,0,1.88,RU,1695492181
270,san martin,-33.081,-68.4681,24.3,41,51,7.14,AR,1695492181
271,port blair,11.6667,92.75,25.02,94,100,1.03,IN,1695492182
272,concordia,-31.393,-58.0209,22.1,80,99,3.58,AR,1695492070
273,algona,43.07,-94.233,22.05,100,40,3.6,US,1695492183
274,kapuskasing,49.4169,-82.4331,19.05,68,40,4.12,CA,1695492184
275,posto fiscal rolim de moura,-13.0833,-62.2667,42.79,15,13,1.13,BR,1695492185
276,mount darwin,-16.7725,31.5838,22.33,38,4,1.87,ZW,1695492186
277,el bordo,2.117,-76.9821,34.35,31,47,1.03,CO,1695492186
278,anori,-3.7728,-61.6442,37.2,30,73,1.82,BR,1695492187
279,salinopolis,-0.6136,-47.3561,29.7,65,0,6.72,BR,1695492188
280,jucas,-6.5253,-39.5275,37.21,21,4,2.84,BR,1695492188
281,santana,-0.0583,-51.1817,34.1,59,40,4.12,BR,1695492189
282,yigo village,13.5361,144.8886,27.63,89,0,2.06,GU,1695492189
283,saint-philippe,-21.3585,55.7679,22.77,81,38,6.55,RE,1695492190
284,varna,43.2167,27.9167,23.08,88,40,4.12,BG,1695492036
285,sinop,41.7711,34.8709,16.92,66,0,1.69,TR,1695492134
286,mitsamiouli,-11.3847,43.2844,26.16,69,20,5.14,KM,1695492191
287,svetlyy,54.675,20.1347,16.03,72,100,2.52,RU,1695492192
288,amatitan,20.8333,-103.7167,29.43,49,75,0.94,MX,1695492193
289,yeppoon,-23.1333,150.7333,15.88,62,66,8.59,AU,1695492194
290,guaruja,-23.9931,-46.2564,27.92,69,75,3.09,BR,1695492195
291,calabozo,8.9242,-67.4293,30.77,66,58,1.72,VE,1695492195
292,es castell,39.8795,4.2854,21.38,68,20,1.54,ES,1695492196
293,tucupita,9.0622,-62.051,36.44,37,51,2.99,VE,1695491595
294,acapulco de juarez,16.8634,-99.8901,31.48,67,9,2.52,MX,1695491971
295,sinabang,2.4803,96.3801,26.49,82,100,3.92,ID,1695492197
296,freetown,8.484,-13.2299,26.38,87,99,4.4,SL,1695492076
297,geraldton,-28.7667,114.6,11.23,87,75,3.6,AU,1695492198
298,marksville,31.128,-92.0662,35.03,40,2,0.38,US,1695492199
299,labytnangi,66.6572,66.4183,4.3,95,100,3.92,RU,1695492199
300,cabo san lucas,22.8909,-109.9124,36.21,58,7,3.44,MX,1695491902
301,burutu,5.3509,5.5076,24.08,93,100,1.49,NG,1695492200
302,nyuzen,36.9333,137.5,17.48,67,95,5.22,JP,1695492201
303,hithadhoo,-0.6,73.0833,28.17,77,100,5.19,MV,1695492201
304,codrington,-38.2667,141.9667,7.08,83,1,3.53,AU,1695492202
305,veraval,20.9,70.3667,27.37,87,96,4.2,IN,1695492202
306,tweed heads,-28.1817,153.547,17.2,77,100,3.6,AU,1695492203
307,filadelfia,39.9523,-75.1638,17.35,95,100,9.26,US,1695492118
308,aliveri,38.4167,24.0333,28.57,58,0,1.54,GR,1695492204
309,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,76,40,3.0,RU,1695492204
310,gorontalo,0.5412,123.0595,22.61,77,55,0.96,ID,1695491911
311,rongelap,11.1635,166.8941,28.19,80,94,7.33,MH,1695492206
312,argo,37.6333,22.7333,25.44,49,34,0.11,GR,1695492206
313,southside,33.9245,-86.0225,29.86,43,0,7.2,US,1695492016
314,porto belo,-27.1578,-48.5531,25.38,82,51,3.84,BR,1695492207
315,zabol,32.25,67.25,16.42,18,0,4.72,AF,1695492208
316,ceeldheer,3.8488,47.1806,26.0,84,57,7.06,SO,1695492208
317,bel ombre,-4.6167,55.4167,27.91,78,40,7.72,SC,1695492209
318,semera,11.501,41.201,34.0,31,63,1.92,ET,1695492210
319,pangody,65.85,74.4859,-0.35,77,71,3.13,RU,1695492210
320,hwange,-18.3693,26.5019,26.95,25,5,1.88,ZW,1695492211
321,monrovia,6.3005,-10.7969,24.87,81,97,2.81,LR,1695492211
322,hami,42.8,93.45,17.22,33,89,0.78,CN,1695492212
323,tovarkovskiy,53.6822,38.2092,15.87,36,74,3.69,RU,1695492212
324,pedernales,18.0384,-71.744,31.49,63,34,2.73,DO,1695492213
